processed_path,crop,disease,class_id,leakage_group_id,group_size
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000001.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000001,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000002.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000002,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000003.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000003,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000004.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000004,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000005.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000005,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000006.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000006,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000007.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000007,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000008.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000008,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000009.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000009,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000010.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000010,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000011.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000011,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000012.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000012,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000013.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000013,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000014.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000014,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000015.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000015,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000016.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000016,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000017.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000017,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000018.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000018,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000019.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000019,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000020.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000020,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000021.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000021,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000022.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000022,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000023.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000023,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000024.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000024,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000025.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000025,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000026.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000026,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000027.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000027,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000028.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000028,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000029.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000029,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000030.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000030,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000031.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000031,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000032.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000032,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000033.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000033,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000034.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000034,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000035.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000035,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000036.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000036,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000037.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000037,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000038.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000038,1
processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000039.png,cotton,Alternaria_Leaf_Spot,C03,LG_SINGLE_000039,1
