image_name,crop,disease,class_id,class_index,original_source,processed_path,extension,file_size,width,height,leakage_group_id,split
cotton_alternaria_leaf_spot_000001.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000001.png,png,42285,700,700,LG_SINGLE_000001,validation
cotton_alternaria_leaf_spot_000002.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000002.png,png,43851,700,700,LG_SINGLE_000002,train
cotton_alternaria_leaf_spot_000003.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000003.png,png,33646,700,700,LG_SINGLE_000003,test
cotton_alternaria_leaf_spot_000004.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000004.png,png,30691,700,700,LG_SINGLE_000004,train
cotton_alternaria_leaf_spot_000005.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000005.png,png,32369,700,700,LG_SINGLE_000005,train
cotton_alternaria_leaf_spot_000006.png,cotton,Alternaria_Leaf_Spot,C03,2,cotton disease dataset,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000006.png,png,33166,700,700,LG_SINGLE_000006,train
cotton_alternaria_leaf_spot_000007.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000007.png,png,35501,700,700,LG_SINGLE_000007,train
cotton_alternaria_leaf_spot_000008.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000008.png,png,35877,700,700,LG_SINGLE_000008,train
cotton_alternaria_leaf_spot_000009.png,cotton,Alternaria_Leaf_Spot,C03,2,cotton disease dataset,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000009.png,png,40303,700,700,LG_SINGLE_000009,train
cotton_alternaria_leaf_spot_000010.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000010.png,png,42329,700,700,LG_SINGLE_000010,train
cotton_alternaria_leaf_spot_000011.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000011.png,png,35174,700,700,LG_SINGLE_000011,train
cotton_alternaria_leaf_spot_000012.png,cotton,Alternaria_Leaf_Spot,C03,2,cotton disease dataset,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000012.png,png,40691,700,700,LG_SINGLE_000012,test
cotton_alternaria_leaf_spot_000013.png,cotton,Alternaria_Leaf_Spot,C03,2,cotton disease dataset,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000013.png,png,41334,700,700,LG_SINGLE_000013,train
cotton_alternaria_leaf_spot_000014.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000014.png,png,38327,700,700,LG_SINGLE_000014,validation
cotton_alternaria_leaf_spot_000015.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000015.png,png,39700,700,700,LG_SINGLE_000015,train
cotton_alternaria_leaf_spot_000016.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000016.png,png,38216,700,700,LG_SINGLE_000016,train
cotton_alternaria_leaf_spot_000017.png,cotton,Alternaria_Leaf_Spot,C03,2,cotton disease dataset,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000017.png,png,38101,700,700,LG_SINGLE_000017,train
cotton_alternaria_leaf_spot_000018.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000018.png,png,38146,700,700,LG_SINGLE_000018,validation
cotton_alternaria_leaf_spot_000019.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000019.png,png,36768,700,700,LG_SINGLE_000019,validation
cotton_alternaria_leaf_spot_000020.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000020.png,png,36515,700,700,LG_SINGLE_000020,test
cotton_alternaria_leaf_spot_000021.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000021.png,png,39281,700,700,LG_SINGLE_000021,train
cotton_alternaria_leaf_spot_000022.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000022.png,png,40621,700,700,LG_SINGLE_000022,train
cotton_alternaria_leaf_spot_000023.png,cotton,Alternaria_Leaf_Spot,C03,2,cotton disease dataset,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000023.png,png,34423,700,700,LG_SINGLE_000023,train
cotton_alternaria_leaf_spot_000024.png,cotton,Alternaria_Leaf_Spot,C03,2,cotton disease dataset,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000024.png,png,41905,700,700,LG_SINGLE_000024,train
cotton_alternaria_leaf_spot_000025.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000025.png,png,45234,700,700,LG_SINGLE_000025,train
cotton_alternaria_leaf_spot_000026.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000026.png,png,39476,700,700,LG_SINGLE_000026,train
cotton_alternaria_leaf_spot_000027.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000027.png,png,42420,700,700,LG_SINGLE_000027,train
cotton_alternaria_leaf_spot_000028.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000028.png,png,43064,700,700,LG_SINGLE_000028,train
cotton_alternaria_leaf_spot_000029.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000029.png,png,42294,700,700,LG_SINGLE_000029,train
cotton_alternaria_leaf_spot_000030.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000030.png,png,44825,700,700,LG_SINGLE_000030,train
cotton_alternaria_leaf_spot_000031.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000031.png,png,45035,700,700,LG_SINGLE_000031,train
cotton_alternaria_leaf_spot_000032.png,cotton,Alternaria_Leaf_Spot,C03,2,cotton disease dataset,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000032.png,png,40761,700,700,LG_SINGLE_000032,train
cotton_alternaria_leaf_spot_000033.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000033.png,png,42909,700,700,LG_SINGLE_000033,train
cotton_alternaria_leaf_spot_000034.png,cotton,Alternaria_Leaf_Spot,C03,2,Cotton Leaf Image Dataset for Disease Classificati,processed/cotton/Alternaria_Leaf_Spot/cotton_alternaria_leaf_spot_000034.png,png,47157,700,700,LG_SINGLE_000034,train
